,molecule_chembl_id,smiles,pIC50,active
0,CHEMBL63786,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.522878745280336,1.0
1,CHEMBL35820,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.221848749616356,1.0
2,CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.221848749616356,1.0
3,CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.096910013008056,1.0
4,CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056,1.0
5,CHEMBL176582,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,11.0,1.0
6,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.602059991327964,1.0
7,CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,10.602059991327964,1.0
8,CHEMBL1243316,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,10.522878745280336,1.0
9,CHEMBL363815,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.431798275933003,1.0
10,CHEMBL3613702,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,10.431798275933003,1.0
11,CHEMBL275762,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,10.154901959985745,1.0
12,CHEMBL327307,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.142667503568733,1.0
14,CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.045757490560677,1.0
15,CHEMBL420624,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10.0,1.0
16,CHEMBL55729,Nc1ccc2cncnc2c1,10.0,1.0
